NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
lawapp-ai                lawapp-brain-746f75b56b-qmd5l                            0/1     CrashLoopBackOff             223 (98s ago)      16h     10.244.4.235      talos-5h3-83r           <none>           <none>
lawapp-ai                lawapp-document-service-b88c5f49b-k6cs2                  1/1     Running                      0                  24h     10.244.0.55       talos-h93-b9x           <none>           <none>
lawapp-ai                lawapp-llm-gateway-75fdbcbb64-hxrsk                      1/1     Running                      0                  23h     10.244.5.44       talos-138-201-202-174   <none>           <none>
lawapp-ai                lawapp-reasoning-worker-55c9fd4db6-mccj4                 0/1     Pending                      0                  23h     <none>            <none>                  <none>           <none>
lawapp-ai                lawapp-rules-engine-86b796c974-r78vb                     1/1     Running                      0                  24h     10.244.0.71       talos-h93-b9x           <none>           <none>
lawapp-ai                lawapp-rules-engine-f7755b979-vqfh2                      0/1     Pending                      0                  24h     <none>            <none>                  <none>           <none>
lawapp-ai                ollama-inference-6gj24                                   1/1     Running                      0                  41h     10.244.5.55       talos-138-201-202-174   <none>           <none>
lawapp-ai                ollama-inference-cm2s7                                   1/1     Running                      0                  41h     10.244.0.170      talos-h93-b9x           <none>           <none>
lawapp-ai                ollama-inference-d485m                                   1/1     Running                      0                  41h     10.244.4.38       talos-5h3-83r           <none>           <none>
lawapp-api               lawapp-backend-6c85f79cbd-qm9vl                          0/1     CrashLoopBackOff             568 (59s ago)      2d      10.244.5.38       talos-138-201-202-174   <none>           <none>
lawapp-api               lawapp-backend-7757c5df85-2l8kn                          1/1     Running                      0                  3d16h   10.244.4.253      talos-5h3-83r           <none>           <none>
lawapp-api               lawapp-postgres-0                                        1/1     Running                      0                  3d10h   10.244.4.40       talos-5h3-83r           <none>           <none>
lawapp-api               test-db-connectivity                                     1/1     Running                      0                  4d13h   10.244.4.91       talos-5h3-83r           <none>           <none>
lawapp-monitoring        lawapp-freshness-check-29680200-5vf6r                    0/1     Pending                      0                  7h59m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-health-probe-29679220-xdrlk                       0/1     Pending                      0                  24h     <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-legal-accuracy-check-29675520-s8ft6               0/1     Completed                    0                  3d13h   10.244.4.17       talos-5h3-83r           <none>           <none>
