NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE     IP                NODE                    NOMINATED NODE   READINESS GATES
lawapp-monitoring        lawapp-smoke-test-29680290-fk2j5                         0/1     Pending                      0                  7h43m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680305-f2wwq                         0/1     Pending                      0                  7h28m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680320-ff6fh                         0/1     Pending                      0                  7h13m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680335-f4lxf                         0/1     Pending                      0                  6h58m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680350-xfnh2                         0/1     Pending                      0                  6h43m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680365-m95r2                         0/1     Pending                      0                  6h28m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680380-zkcnm                         0/1     Pending                      0                  6h13m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680395-z9t6s                         0/1     Pending                      0                  5h58m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680410-qtcf9                         0/1     Pending                      0                  5h43m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680425-9fsrj                         0/1     Pending                      0                  5h28m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680440-9tq65                         0/1     Pending                      0                  5h13m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680455-s9t46                         0/1     Pending                      0                  4h58m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680470-8nhgr                         0/1     Pending                      0                  4h43m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680485-tghc8                         0/1     Pending                      0                  4h28m   <none>            <none>                  <none>           <none>
lawapp-monitoring        lawapp-smoke-test-29680500-t7zj9                         0/1     Pending                      0                  4h13m   <none>            <none>                  <none>           <none>
